Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (evaluations),Tuition fees up to date,Curricular units 1st sem (evaluations),Admission grade,Course,Age at enrollment,Previous qualification (grade),Father's occupation,Application mode,Mother's occupation,Curricular units 2nd sem (enrolled),GDP,Curricular units 1st sem (enrolled),Mother's qualification,Father's qualification,Scholarship holder,Target_binary
5,12.6,5,11.666666666666666,7,1,10,140.0,9003,20,140.0,3,44,4,6,1.79,6,1,1,0,0
0,0.0,0,0.0,8,0,8,110.0,9500,37,110.0,9,39,9,8,-1.7,8,38,38,0,1
6,15.857142857142858,6,15.625,8,1,8,140.0,9130,20,140.0,2,43,9,6,0.79,6,1,3,1,0
6,11.166666666666666,6,13.5,6,1,6,112.0,9070,21,133.1,3,1,3,6,2.02,6,1,19,1,0
0,0.0,2,11.0,6,1,10,162.3,9085,24,133.1,9,39,9,6,3.51,6,1,19,0,1
4,11.75,4,12.25,8,1,9,120.0,9130,53,133.1,9,39,9,5,-3.12,5,37,38,0,0
7,14.654285714285717,7,14.654285714285717,8,1,8,120.8,9500,18,137.0,7,1,7,8,1.74,8,19,19,1,0
6,11.666666666666666,6,12.5,6,1,6,128.4,9238,18,134.0,7,1,7,6,1.74,6,38,19,1,0
3,11.333333333333334,3,12.0,10,1,8,128.2,9085,28,133.1,7,39,90,5,0.32,5,37,36,0,1
6,11.166666666666666,6,12.142857142857142,6,1,8,126.1,9254,18,131.0,4,1,7,6,3.51,6,4,3,0,0
4,10.25,3,13.666666666666666,13,1,11,127.9,9773,20,124.0,4,17,4,6,-3.12,6,1,1,0,0
6,14.428571428571429,6,12.166666666666666,8,1,8,139.0,8014,49,133.1,6,39,6,6,1.79,6,37,37,0,0
0,0.0,0,0.0,0,0,0,124.2,171,19,127.0,5,1,9,0,-3.12,0,1,1,0,1
6,14.666666666666666,6,14.5,8,1,6,118.6,9085,21,113.0,9,17,9,6,3.51,6,19,37,1,0
6,13.0,4,13.0,6,1,10,98.9,9254,20,101.0,9,1,3,6,1.79,6,3,19,0,0
5,13.333333333333334,5,13.0,6,1,5,144.6,9147,18,146.0,5,1,1,5,-0.92,5,5,1,0,0
3,13.0,3,12.666666666666666,7,1,10,132.1,9085,19,144.0,10,1,4,5,-1.7,5,1,19,1,0
1,11.0,3,10.333333333333334,16,1,16,118.7,9254,20,119.0,9,1,9,6,1.74,6,19,19,0,1
3,12.285714285714286,3,10.666666666666666,10,0,7,119.0,9147,19,133.1,9,1,9,5,1.74,5,19,19,1,1
7,13.44285714285714,7,13.44285714285714,8,1,8,127.0,9500,19,140.0,7,1,9,8,-1.7,8,1,19,0,0
7,13.771428571428572,6,13.731666666666667,10,1,8,121.8,9500,19,126.0,9,1,5,8,1.79,7,12,37,0,1
5,14.0,6,13.333333333333334,8,1,8,113.2,9003,20,119.0,6,17,4,6,2.02,6,37,37,0,0
3,12.666666666666666,6,13.333333333333334,8,1,6,109.0,9070,23,116.0,9,17,9,6,2.02,6,38,37,1,1
8,16.0875,7,15.014285714285714,8,1,7,133.9,9500,18,143.0,5,1,5,8,1.79,7,38,38,0,0
6,13.193333333333332,7,13.128,13,1,10,122.9,9500,18,135.0,10,1,9,8,-4.06,7,19,19,0,0
6,12.833333333333334,5,13.4,6,1,7,131.1,9070,19,150.0,6,1,9,6,-4.06,6,37,37,1,0
6,11.666666666666666,6,13.0,7,1,6,125.7,9773,19,125.0,3,1,2,6,3.51,6,3,19,0,0
2,15.0,4,14.75,9,0,12,130.0,9991,32,130.0,9,7,3,5,-0.92,5,19,19,0,1
4,12.25,6,13.666666666666666,10,1,10,116.9,9003,19,126.0,2,17,5,6,0.79,6,37,3,0,1
6,12.616666666666667,6,12.1,7,1,11,114.5,9500,23,133.1,10,43,9,7,-0.92,7,38,19,0,0
6,13.5,6,12.333333333333334,6,1,6,120.4,9773,18,134.0,3,17,3,6,-0.92,6,1,1,1,0
9,11.0,9,12.333333333333334,16,1,21,172.0,8014,44,140.0,10,39,9,11,1.79,11,37,3,0,0
0,0.0,0,0.0,6,1,6,130.0,9003,30,133.1,8,39,3,6,2.02,6,37,37,1,0
4,12.0,3,10.666666666666666,9,1,12,121.2,9254,18,118.0,7,17,5,6,-4.06,6,19,19,1,0
6,12.116666666666667,4,13.375,8,1,12,120.1,9500,19,126.0,181,1,131,7,1.79,7,1,19,0,0
8,14.8125,7,13.1,8,1,8,100.0,9500,20,128.0,8,43,9,8,0.79,7,1,19,0,0
3,11.0,2,10.5,6,1,10,132.1,9070,19,124.0,9,1,7,6,0.32,6,19,19,0,0
7,11.7,7,11.0,13,1,13,120.0,9556,24,120.0,193,39,191,8,-1.7,7,38,38,1,0
4,12.8,6,13.0,9,1,8,141.8,9130,19,147.0,10,17,2,6,0.79,6,4,1,0,0
6,13.666666666666666,6,13.833333333333334,6,1,6,122.1,9773,18,135.0,6,1,9,6,-1.7,6,37,38,0,0
6,13.166666666666666,6,12.166666666666666,9,1,10,113.5,9853,19,117.0,0,18,4,7,1.79,7,19,38,0,0
5,11.6,4,13.5,6,1,7,110.3,9085,33,133.1,90,39,90,5,0.32,5,37,37,0,0
6,12.0,6,11.714285714285714,7,1,8,126.9,9773,21,122.0,5,43,4,6,0.32,6,1,1,0,0
0,0.0,0,0.0,5,1,5,107.0,9670,30,133.1,3,39,90,5,0.32,5,1,1,0,1
7,13.742857142857144,7,13.2375,9,1,9,124.9,9500,18,138.0,8,1,5,8,0.79,7,19,19,1,1
2,13.5,5,11.4,14,0,9,123.0,9238,18,138.0,7,1,4,6,3.51,6,1,19,0,1
0,0.0,0,0.0,5,1,14,110.0,9147,43,133.1,7,39,5,5,-3.12,5,37,37,0,1
5,12.4,5,11.5,8,0,10,146.5,9238,22,150.0,9,15,9,6,0.79,6,19,1,0,0
5,13.2,5,11.6,5,1,5,129.9,9147,18,133.0,9,1,9,5,1.79,5,19,37,0,0
5,15.4,5,14.0,6,1,5,137.0,9085,18,131.0,90,1,90,5,0.32,5,37,37,0,0
6,12.833333333333334,6,13.833333333333334,6,1,6,126.3,8014,55,149.0,0,39,0,6,0.32,6,34,34,0,0
5,14.0,5,12.6,5,1,5,121.8,9147,18,127.0,5,1,4,5,2.02,5,2,19,0,0
5,10.8,6,12.333333333333334,10,1,7,125.1,9070,18,131.0,7,17,7,6,-0.92,6,19,19,0,0
5,11.6,7,13.285714285714286,13,1,11,103.6,9773,27,120.0,0,43,0,7,-3.12,8,34,34,0,1
13,11.384615384615383,14,10.214285714285714,13,0,17,120.4,9147,32,140.0,7,51,9,13,-0.92,15,19,19,0,0
7,12.714285714285714,7,12.714285714285714,12,1,12,130.0,9500,24,148.0,5,39,2,8,-1.7,8,3,19,0,0
4,11.75,3,11.0,9,1,10,128.3,9147,19,129.0,2,17,2,5,-1.7,5,2,3,0,0
6,13.166666666666666,6,13.0,6,1,6,139.2,9254,19,135.0,7,1,9,6,1.79,6,38,37,1,0
6,14.716666666666669,6,14.716666666666669,7,1,7,131.8,9500,18,153.0,9,1,9,7,0.32,7,37,37,0,0
5,13.8,6,13.285714285714286,8,1,9,105.0,9670,20,133.1,9,1,5,6,-4.06,6,38,38,0,0
6,13.5,6,12.166666666666666,6,1,8,123.1,9254,19,136.0,7,17,4,6,2.02,6,19,19,0,0
5,14.666666666666666,5,10.6,7,0,6,155.5,9991,39,133.1,5,39,7,5,1.74,5,19,37,0,1
6,12.0,9,12.0,8,1,11,120.0,8014,41,100.0,9,43,9,7,-3.12,9,37,37,0,0
5,12.0,4,14.25,8,1,10,121.4,9853,23,134.0,5,16,9,6,0.32,6,37,19,1,0
3,11.6,2,12.5,10,1,9,130.0,9119,19,130.0,5,44,9,5,1.79,5,38,19,0,0
6,14.0,6,13.833333333333334,6,1,7,139.2,9238,18,136.0,8,1,9,6,-3.12,6,37,38,0,0
5,11.0,4,11.25,8,1,6,138.4,9147,18,151.0,10,1,4,5,1.74,5,37,1,0,0
12,11.428571428571429,18,12.5,26,1,45,117.2,9085,28,110.0,6,43,9,13,-4.06,18,38,38,0,0
0,0.0,4,10.75,9,1,8,120.7,9070,18,121.0,3,1,2,6,-3.12,6,4,1,0,0
4,16.0,5,16.166666666666668,10,0,8,154.9,9003,35,130.0,4,39,2,6,3.51,6,3,1,0,1
6,14.166666666666666,6,14.833333333333334,6,1,6,133.3,9773,18,135.0,8,1,5,6,3.51,6,38,38,1,0
0,0.0,0,0.0,0,1,0,103.0,9853,41,133.1,8,39,7,6,-0.92,6,37,37,0,1
0,0.0,5,11.571428571428571,11,1,9,156.4,9130,44,133.1,10,39,9,6,0.79,6,37,37,0,1
0,0.0,0,0.0,0,1,0,128.2,9500,39,140.0,6,43,6,8,-1.7,7,1,1,0,1
13,12.071428571428571,15,12.266666666666667,14,1,19,109.3,9238,30,117.0,0,43,0,13,-3.12,16,34,34,0,0
0,0.0,0,0.0,7,0,7,120.0,9500,28,120.0,5,7,4,7,0.79,7,37,37,0,1
5,13.0,6,11.333333333333334,8,1,6,102.5,8014,32,140.0,7,39,9,6,-4.06,6,19,19,1,0
3,12.333333333333334,6,12.333333333333334,11,1,8,132.9,9773,18,142.0,9,1,9,6,1.74,6,38,38,0,0
5,13.8,5,14.4,5,1,7,141.8,9085,21,140.0,90,1,1,5,0.32,5,12,1,0,0
1,13.67,1,13.67,10,1,10,127.0,9500,19,136.0,4,1,4,8,-3.12,8,1,1,0,0
0,0.0,0,0.0,0,1,0,129.0,9556,21,135.0,7,17,3,7,-1.7,7,38,37,0,1
9,12.307692307692308,13,10.692307692307692,19,1,24,110.0,9238,36,110.0,9,43,9,13,-4.06,16,37,37,0,0
6,13.333333333333334,6,13.666666666666666,6,1,6,120.3,9773,19,121.0,8,17,9,6,3.51,6,1,19,1,0
5,12.4,5,12.4,9,1,6,127.0,9070,20,141.0,10,43,5,6,-1.7,6,1,19,0,0
7,12.820000000000002,7,12.59125,11,1,8,126.1,9500,18,131.0,2,1,3,8,-4.06,7,19,3,0,0
0,0.0,0,0.0,7,1,7,100.0,9991,24,133.1,4,39,2,5,-0.92,5,2,1,0,1
8,13.31,8,13.31,9,1,9,141.3,9500,18,144.0,8,1,4,8,-3.12,8,19,38,1,0
6,13.15,6,13.081666666666669,12,1,9,125.6,9500,22,141.0,6,1,6,8,2.02,7,37,38,1,0
0,0.0,0,0.0,0,1,0,129.7,171,18,143.0,10,1,2,0,0.79,0,3,38,0,0
2,13.5,2,15.0,7,1,9,115.0,9119,30,120.0,2,42,2,6,-4.06,6,5,5,0,1
0,0.0,0,0.0,0,1,0,133.8,9500,19,130.0,5,1,2,8,0.32,7,3,1,0,1
4,10.8,3,11.666666666666666,10,1,5,132.9,9147,19,129.0,5,17,3,5,-3.12,5,38,37,0,1
5,11.566666666666668,4,12.86,10,0,11,129.0,9500,26,130.0,7,39,3,7,1.79,7,19,19,0,1
8,14.0,10,14.5,15,1,15,153.8,9085,21,150.0,8,53,2,9,3.51,11,3,1,0,0
2,11.333333333333334,3,12.0,12,1,13,117.0,9238,21,125.0,8,43,4,6,-0.92,6,19,19,0,1
5,11.0,4,12.25,15,1,13,109.6,9085,18,133.1,9,15,9,6,2.02,6,37,37,0,1
0,0.0,0,0.0,0,1,0,117.4,9853,19,123.0,7,18,9,6,2.02,6,19,19,0,1
0,0.0,0,0.0,0,1,0,130.0,171,23,145.0,9,17,5,0,2.02,0,37,19,0,1
6,11.875,6,13.0,8,1,8,123.4,9070,23,115.0,8,1,3,6,0.79,6,19,1,0,0
8,13.8,7,11.677777777777775,8,1,9,119.0,9556,19,132.0,7,1,7,8,-1.7,7,38,37,0,0
6,13.0,6,15.0,6,1,6,134.2,9773,20,138.0,9,16,4,6,2.02,6,37,38,1,0
6,13.571428571428571,6,12.0,7,1,6,110.0,9070,19,118.0,123,1,123,6,3.51,6,43,3,0,0
7,12.742857142857144,7,12.742857142857144,8,1,8,150.0,9500,24,130.0,9,39,4,8,-1.7,8,1,1,0,0
5,13.0,5,13.4,6,1,6,118.8,9147,19,131.0,4,1,1,5,-0.92,5,3,19,0,0
4,12.0,5,11.8,19,1,13,130.0,9085,20,130.0,3,44,4,6,1.79,6,1,1,0,0
3,12.75,3,13.333333333333334,12,1,12,150.0,9003,22,150.0,1,44,1,6,-4.06,6,19,1,0,0
7,14.54,7,14.54,8,1,8,132.5,9500,21,152.0,9,17,4,8,1.74,8,19,19,0,0
6,12.333333333333334,6,11.666666666666666,6,1,6,116.8,9773,18,122.0,7,17,4,6,-0.92,6,1,1,0,0
3,11.725,4,11.75,14,1,11,115.2,9500,48,133.1,172,39,191,7,2.02,7,37,37,0,0
6,11.571428571428571,5,11.142857142857142,9,1,11,132.0,9238,20,133.0,9,1,9,6,-0.92,6,1,19,1,0
6,13.77777777777778,6,12.666666666666666,9,1,7,134.3,9670,20,149.0,4,17,7,6,1.74,6,19,37,0,0
0,0.0,2,10.5,5,1,5,126.5,9991,27,133.1,9,39,9,5,0.32,5,37,37,0,1
5,11.8,3,13.0,10,0,11,118.1,9853,18,124.0,3,1,5,6,-3.12,6,38,37,0,1
9,11.333333333333334,6,10.666666666666666,17,1,15,117.3,9991,28,140.0,6,43,5,10,0.32,10,38,37,0,0
0,0.0,0,0.0,2,1,2,128.0,9119,30,120.0,5,39,5,2,0.32,2,37,37,0,1
0,0.0,0,0.0,0,1,0,140.0,9147,23,140.0,9,7,9,5,0.32,5,37,37,0,1
3,13.75,4,11.5,17,1,14,113.4,9085,18,120.0,9,1,2,6,2.02,6,4,1,0,0
6,17.166666666666668,6,15.571428571428571,6,1,7,129.3,9670,20,145.0,1,17,2,6,-0.92,6,3,3,0,0
5,13.2,5,12.6,5,1,5,111.3,9147,21,120.0,9,17,9,5,3.51,5,38,19,0,0
13,14.538461538461538,18,15.052631578947368,13,1,19,140.7,9003,20,147.0,9,16,4,13,-4.06,18,1,37,1,0
0,0.0,0,0.0,0,1,0,100.9,9130,48,133.1,4,39,9,6,-4.06,6,37,38,0,1
13,13.266666666666667,16,13.0,15,1,18,125.2,9238,23,129.0,0,43,0,13,-3.12,16,34,34,1,0
12,12.083333333333334,13,13.714285714285714,18,1,27,110.0,9003,32,130.0,6,39,2,12,-4.06,18,1,3,0,0
6,13.166666666666666,5,12.4,6,1,9,121.7,9773,19,136.0,9,17,9,6,-1.7,6,19,38,1,0
7,13.105714285714283,7,13.105714285714283,8,1,8,129.0,9500,18,143.0,2,1,2,8,1.74,8,3,3,0,0
8,15.366666666666667,7,14.757142857142856,9,1,7,130.7,9500,19,133.0,4,17,4,8,1.79,7,4,4,0,0
5,11.666666666666666,5,11.0,9,1,6,136.2,9991,39,133.1,6,39,6,5,1.74,5,37,37,0,0
0,0.0,0,0.0,0,1,0,125.3,9670,30,133.1,3,39,3,6,1.79,6,19,19,1,1
4,11.857142857142858,4,14.2,10,1,6,131.8,9147,35,140.0,10,39,6,5,1.74,5,37,37,0,0
6,11.833333333333334,6,13.833333333333334,6,1,6,135.0,9238,20,135.0,5,1,9,6,1.74,6,19,19,0,0
3,12.666666666666666,5,13.142857142857142,15,1,13,140.0,9130,24,133.1,2,39,9,6,-0.92,6,19,3,0,1
7,14.65,6,14.37,10,1,8,129.8,9500,20,131.0,7,17,9,8,1.79,7,19,37,0,0
5,11.6,5,11.2,13,1,11,117.2,9238,19,121.0,5,17,4,6,-4.06,6,1,1,0,0
5,12.8,6,13.333333333333334,7,1,8,178.0,9070,23,133.1,10,17,9,6,-3.12,6,37,38,1,0
6,14.0,7,14.666666666666666,8,1,9,100.0,9670,21,133.1,4,15,9,6,2.02,7,1,1,0,0
7,14.232857142857142,7,14.232857142857142,8,1,8,125.5,9500,19,140.0,9,1,9,8,1.74,8,19,37,1,0
7,12.114285714285714,7,12.114285714285714,8,1,8,133.5,9500,18,143.0,8,17,5,8,-1.7,8,37,38,1,0
5,10.8,5,12.0,9,1,8,132.0,9853,21,133.1,8,1,9,6,-1.7,6,19,19,0,1
0,0.0,0,0.0,2,0,0,121.7,9130,22,122.0,9,17,9,2,-3.12,6,19,19,0,1
5,12.8,5,13.4,5,1,6,139.8,9085,19,131.0,9,1,9,5,1.74,5,19,19,0,0
5,13.4,4,12.75,5,1,7,135.7,9085,20,128.0,4,1,5,5,1.74,5,19,1,0,0
6,12.25,6,12.25,8,1,8,120.0,9500,29,120.0,2,7,4,8,-1.7,8,19,3,0,1
1,12.0,5,13.0,12,1,11,100.0,9085,24,150.0,10,39,4,6,0.79,6,19,19,0,1
0,0.0,0,0.0,0,1,0,100.0,8014,37,133.1,10,39,8,6,-3.12,6,37,37,0,1
8,13.01125,8,13.01125,8,1,8,132.8,9500,18,150.0,5,1,5,8,-3.12,8,19,19,1,0
5,12.2,6,11.5,9,1,13,114.9,9238,19,125.0,7,17,3,6,2.02,6,19,38,1,0
6,13.333333333333334,6,12.666666666666666,7,1,7,106.5,8014,32,133.1,7,39,9,6,-1.7,6,37,37,1,0
4,13.75,6,11.333333333333334,12,1,8,113.5,9130,19,117.0,4,17,4,6,3.51,6,19,19,0,1
0,0.0,0,0.0,0,1,0,124.7,9500,18,138.0,3,1,2,8,-0.92,7,4,19,0,1
6,13.5,6,14.333333333333334,6,1,6,125.2,9070,19,135.0,9,17,9,6,-1.7,6,37,19,0,0
5,11.6,5,12.0,6,1,5,151.4,9991,28,144.0,9,1,9,5,0.32,5,19,19,0,0
5,12.0,5,11.714285714285714,15,1,14,130.0,9003,20,130.0,6,44,6,6,-0.92,6,1,37,0,0
6,12.0,6,11.5,6,1,7,163.4,9070,20,148.0,1,17,4,6,-0.92,6,1,3,0,0
4,12.6,6,12.5,10,0,6,111.7,9773,19,112.0,1,17,5,6,-4.06,6,1,1,0,1
4,11.75,5,13.6,10,1,9,146.6,9853,18,163.0,10,1,5,6,-3.12,6,19,1,0,0
3,11.0,8,12.625,10,1,18,112.6,9238,20,122.0,2,51,5,10,2.02,11,19,3,0,0
2,12.5,3,12.666666666666666,12,1,7,123.2,9147,20,133.0,6,17,5,5,-3.12,5,19,38,0,0
0,0.0,0,0.0,0,1,7,120.3,9853,35,130.0,8,51,7,6,3.51,7,37,37,0,1
4,13.25,5,13.0,9,1,6,114.5,9085,24,125.0,9,1,4,5,-1.7,5,1,19,0,0
8,12.77125,8,12.77125,8,1,8,131.5,9500,18,128.0,7,17,7,8,-3.12,8,38,38,0,0
1,10.0,2,10.0,12,1,13,122.8,8014,23,120.0,3,1,7,5,-3.12,6,1,37,0,0
5,13.2,5,14.0,6,1,8,107.4,9119,18,113.0,7,1,2,5,3.51,5,4,38,0,0
0,0.0,0,0.0,8,0,6,156.1,9003,29,149.0,5,43,4,6,-4.06,6,1,1,0,1
4,10.75,5,13.0,8,1,8,116.7,9853,19,123.0,9,17,3,6,-3.12,6,1,1,0,0
4,11.0,6,11.833333333333334,21,0,18,160.0,9003,30,160.0,7,44,9,8,-4.06,9,37,37,0,1
6,12.714285714285714,6,12.666666666666666,7,1,8,142.0,9773,19,129.0,5,1,5,6,-3.12,6,38,37,0,0
0,0.0,0,0.0,10,0,10,129.8,9773,20,127.0,3,17,3,5,1.74,6,1,33,0,1
6,13.166666666666666,6,14.666666666666666,6,1,6,138.3,9070,19,139.0,5,1,1,6,-3.12,6,3,19,0,0
0,0.0,0,0.0,0,1,10,137.0,9238,19,133.1,0,1,0,6,0.32,6,19,37,0,1
0,0.0,0,0.0,9,0,6,106.5,9670,20,110.0,8,17,5,6,1.74,6,12,3,0,1
3,11.0,5,11.2,5,1,8,116.1,9147,19,122.0,7,17,7,5,1.79,5,19,19,1,0
6,12.5,6,13.0,6,1,6,108.7,8014,43,110.0,10,1,9,6,-3.12,6,37,1,0,0
1,10.0,2,10.0,7,1,8,131.4,9147,22,137.0,9,17,5,5,0.32,5,1,37,0,1
7,14.985714285714286,7,14.985714285714286,8,1,8,140.0,9500,24,130.0,4,39,9,8,-1.7,8,38,1,0,0
6,13.285714285714286,6,11.5,7,1,6,106.1,9238,20,105.0,6,1,6,6,2.02,6,19,19,0,0
5,12.5,5,13.833333333333334,13,1,10,150.0,9003,34,140.0,5,39,5,6,-0.92,6,37,37,0,0
6,14.571428571428571,5,14.2,7,1,7,124.6,9773,19,140.0,8,1,4,6,-4.06,6,1,19,0,0
6,12.666666666666666,5,12.6,6,1,11,140.0,9003,29,133.1,4,39,9,6,2.02,6,37,19,0,0
4,11.0,4,12.5,10,1,12,127.7,9991,25,133.1,2,39,4,5,0.79,5,1,1,0,0
8,14.445,8,14.445,8,1,8,134.8,9500,18,149.0,4,1,4,8,-3.12,8,19,1,0,0
10,11.8,10,12.4,13,1,14,118.6,9238,21,120.0,2,43,1,10,0.79,11,2,1,0,0
7,11.77777777777778,9,12.333333333333334,10,1,14,112.5,9238,20,110.0,90,43,90,7,0.32,10,14,14,0,0
0,0.0,0,0.0,0,1,0,120.3,9853,19,122.0,5,18,9,6,1.74,6,38,37,0,1
4,12.5,4,10.5,16,1,15,140.0,9670,24,120.0,7,39,7,6,-4.06,6,38,37,0,1
5,13.0,5,12.0,5,1,6,132.0,9085,24,150.0,9,39,9,5,1.74,5,38,38,0,0
0,0.0,0,0.0,6,0,11,120.0,9130,29,133.1,0,39,3,5,-3.12,5,3,34,0,1
0,0.0,0,0.0,0,1,0,154.8,171,21,150.0,9,44,9,0,1.79,0,19,1,0,0
0,0.0,0,0.0,0,0,5,112.0,9147,20,119.0,7,18,7,5,-3.12,5,37,37,0,1
5,17.6,5,14.8,5,1,5,119.5,9119,20,124.0,9,17,2,5,3.51,5,4,12,0,0
6,13.2,6,12.625,10,1,8,160.0,9003,20,160.0,6,44,9,6,-0.92,6,37,38,1,0
0,0.0,0,0.0,0,1,0,136.1,171,18,141.0,9,17,9,0,-1.7,0,19,37,1,0
6,14.571428571428571,6,14.428571428571429,7,1,7,132.8,9773,19,131.0,3,17,2,6,0.79,6,3,19,0,0
5,11.6,3,10.666666666666666,8,1,8,151.3,9147,23,160.0,3,1,4,5,0.32,5,9,19,0,0
0,0.0,0,0.0,0,1,0,151.6,171,19,147.0,3,1,9,0,0.79,0,12,19,0,0
5,12.4,5,13.0,7,1,11,123.9,9085,18,134.0,8,16,8,5,-3.12,5,19,37,0,0
5,14.8,5,15.8,5,1,5,139.0,9991,27,140.0,9,39,9,5,3.51,5,1,19,0,0
0,0.0,0,0.0,0,1,0,140.0,9500,28,140.0,0,7,0,8,0.32,7,34,34,0,1
2,11.0,7,11.571428571428571,14,1,15,112.4,8014,26,119.0,0,17,0,6,0.32,7,34,34,0,1
1,10.0,0,0.0,10,1,10,123.5,9119,18,135.0,5,1,3,5,0.32,5,2,1,0,0
0,0.0,1,10.0,6,1,9,121.6,9254,18,130.0,7,17,7,6,-1.7,6,19,19,1,1
5,12.666666666666666,5,11.666666666666666,9,1,8,118.9,9238,19,121.0,8,1,9,6,1.79,6,1,1,1,0
4,12.5,3,11.0,8,1,9,114.3,9991,40,160.0,99,39,99,5,0.32,5,34,34,0,0
0,0.0,1,11.0,6,1,14,124.8,9147,19,130.0,9,1,2,5,0.79,5,38,38,0,1
5,14.2,4,14.0,5,1,7,149.2,9130,18,160.0,2,1,1,5,0.32,5,3,3,0,0
7,13.085714285714284,7,13.875714285714285,9,1,8,126.5,9500,19,131.0,7,17,7,8,2.02,7,1,19,1,0
0,0.0,0,0.0,0,1,3,143.4,9119,29,130.0,90,39,90,5,1.74,3,1,38,0,1
5,11.0,5,11.4,8,1,10,126.2,9238,22,136.0,2,1,2,6,1.74,6,4,5,0,0
5,12.6,5,11.2,5,0,5,100.0,9670,25,133.1,7,39,4,5,-3.12,5,1,1,0,1
7,13.971428571428572,7,13.971428571428572,8,1,8,136.3,9500,18,145.0,7,1,9,8,-1.7,8,19,38,1,0
6,11.166666666666666,6,11.666666666666666,8,1,6,129.8,9238,20,134.0,9,1,4,6,-4.06,6,1,19,1,0
5,12.166666666666666,6,12.0,10,1,9,127.8,9130,18,132.0,1,17,4,6,2.02,6,2,1,0,1
6,13.875,9,13.454545454545457,9,1,12,133.6,9119,20,136.0,5,51,3,7,2.02,9,1,19,0,1
3,11.666666666666666,4,11.5,11,1,10,138.6,9254,20,138.6,0,43,0,6,0.32,6,34,34,0,1
6,13.333333333333334,6,12.285714285714286,7,1,7,126.4,9670,18,125.0,5,17,7,6,-0.92,6,38,37,1,0
2,10.5,3,10.666666666666666,9,1,6,120.0,9119,24,150.0,5,39,3,5,-4.06,5,1,38,0,0
0,0.0,0,0.0,0,1,0,141.2,171,19,137.0,8,1,4,0,2.02,0,1,38,0,0
2,12.666666666666666,4,12.5,13,1,12,98.9,9085,21,101.0,9,1,4,6,2.02,6,1,37,0,0
5,11.8,5,12.428571428571429,7,1,9,127.5,9991,22,145.0,9,1,4,5,0.32,5,2,37,0,0
0,0.0,0,0.0,0,1,0,131.4,171,20,131.0,7,1,4,0,0.32,0,19,1,0,0
7,13.331428571428573,7,13.331428571428573,8,1,8,124.0,9500,18,139.0,9,1,9,8,1.74,8,37,38,1,0
7,12.671428571428573,6,12.583333333333334,8,1,10,130.8,9500,19,142.0,8,17,9,8,0.79,7,38,37,1,0
4,12.75,7,12.857142857142858,7,1,10,100.0,33,20,133.1,4,15,2,7,3.51,7,2,3,0,0
0,0.0,0,0.0,5,1,5,121.7,9991,45,133.1,90,39,90,5,0.32,5,38,38,0,1
0,0.0,2,10.5,6,1,14,105.3,9991,28,133.1,6,39,9,5,1.79,5,37,37,0,1
0,0.0,0,0.0,10,1,12,110.0,8014,37,110.0,0,43,0,5,0.32,6,34,34,0,1
4,13.25,6,11.5,10,0,6,140.0,9254,21,140.0,7,15,9,6,0.79,6,19,1,0,0
5,11.6,4,11.75,6,1,10,120.2,9147,21,131.0,5,17,4,5,1.79,5,1,19,0,0
6,13.5,6,14.0,6,1,6,136.8,9773,18,156.0,10,1,5,6,2.02,6,19,1,0,1
1,10.0,0,0.0,11,1,7,132.5,9773,21,129.0,7,17,2,6,1.74,6,3,1,0,0
8,13.05375,8,13.05375,10,1,10,129.8,9500,18,151.0,1,1,2,8,-3.12,8,3,1,0,0
6,12.0,6,13.5,12,1,10,163.3,9085,18,163.3,9,10,4,6,1.79,6,19,1,0,0
6,12.183333333333332,6,12.183333333333332,7,1,7,126.0,9500,19,132.0,3,1,9,7,0.32,7,19,2,0,0
3,11.0,5,11.6,9,1,8,127.6,9147,19,129.0,9,16,4,5,1.74,5,19,19,0,1
0,0.0,0,0.0,10,1,7,126.1,9003,24,130.0,9,39,9,6,1.79,6,12,12,0,1
7,12.791428571428572,7,12.791428571428572,8,1,8,117.8,9500,20,124.0,7,18,9,8,1.74,8,37,37,1,0
0,0.0,0,0.0,0,0,0,126.8,171,18,140.0,9,1,7,0,-1.7,0,37,37,1,1
8,13.994444444444444,7,13.7,9,1,7,142.8,9500,18,141.0,10,1,3,8,2.02,7,1,1,0,0
5,12.666666666666666,4,12.4,9,1,7,134.9,9085,20,138.0,7,17,90,5,0.32,5,19,36,0,0
3,12.0,4,13.0,11,0,7,133.9,9130,20,136.0,8,1,90,5,1.74,5,19,19,0,1
6,12.833333333333334,6,12.833333333333334,6,1,6,141.7,9238,20,140.0,5,44,3,6,0.79,6,1,1,1,0
4,12.0,4,11.25,9,1,10,130.0,9991,25,140.0,5,39,9,5,-1.7,5,38,19,0,0
8,11.11111111111111,9,12.555555555555555,14,1,19,140.2,9147,20,140.0,1,53,2,9,3.51,11,3,4,0,0
5,10.2,5,12.0,5,1,9,119.8,9147,26,133.1,9,39,9,5,2.02,5,19,19,0,0
2,11.0,6,12.0,6,0,6,119.0,9773,18,120.0,9,1,9,6,2.02,6,1,1,0,1
0,0.0,0,0.0,0,1,0,126.9,171,20,130.0,9,17,9,0,-1.7,0,3,1,0,1
